# generated-file guest addr	hook	patched at
# Re-apply after regenerating the port tree: tools/trace_patch.py
# and tools/indirect_patch.py for the ones they know, by hand at the
# generated label for the rest (HANDOVER.md section 3.1).
7100f086f0	g2s_trace_mknode	0x7100f086f0
7100f088d0	g2s_trace_mknode	0x7100f088d0
7100f08a08	g2s_trace_mknode	0x7100f08a08
7100f08c78	g2s_trace_mknode	0x7100f08c78
7100f08d58	g2s_trace_mknode	0x7100f08d58
7100f09074	g2s_trace_mknode	0x7100f09074
7100f09154	g2s_trace_mknode	0x7100f09154
7100f09284	g2s_trace_mknode	0x7100f09284
7100f09328	g2s_trace_mknode	0x7100f09328
7100f09550	g2s_trace_mknode	0x7100f09550
7100f0964c	g2s_trace_mknode	0x7100f0964c
7100f0972c	g2s_trace_mknode	0x7100f0972c
7100f0972c	g2s_trace_factory	0x7100f0972c
7100f0980c	g2s_trace_mknode	0x7100f0980c
7100f099cc	g2s_trace_mknode	0x7100f099cc
7100f09aac	g2s_trace_mknode	0x7100f09aac
7100f09c34	g2s_trace_mknode	0x7100f09c34
7100f09d14	g2s_trace_mknode	0x7100f09d14
7100f09ecc	g2s_trace_mknode	0x7100f09ecc
7100f0a210	g2s_trace_mknode	0x7100f0a210
7100f0bd20	g2s_trace_mknode	0x7100f0bd20
7100f0be60	g2s_trace_mknode	0x7100f0be60
7100f0bea0	g2s_trace_mknode	0x7100f0bea0
7100f0bee0	g2s_trace_mknode	0x7100f0bee0
7100f0bf20	g2s_trace_mknode	0x7100f0bf20
7100f0c180	g2s_trace_mknode	0x7100f0c180
7100f0c3f0	g2s_trace_mknode	0x7100f0c3f0
7100f0c4e0	g2s_trace_mknode	0x7100f0c4e0
7100f0f860	g2s_trace_opcodes	0x7100f0f860
7100f10a30	g2s_trace_expr	0x7100f10a30
7100f10a30	g2s_trace_irop	0x7100f10a30
7100f10a30	g2s_trace_carrier	0x7100f11548
7100f10a30	g2s_indirect	all sites
7100f13410	g2s_trace_desc	0x7100f13410
7100f13410	g2s_indirect	all sites
7100f171f0	g2s_trace_opcodes	0x7100f171f0
7100f17db0	g2s_trace_opcodes	0x7100f17db0
7100f231a0	g2s_trace_bodycount	0x7100f231a0
7100f236d0	g2s_trace_bodycount	0x7100f236d0
7100f23a30	g2s_trace_opcodes	0x7100f23a30
7100f23a30	g2s_trace_bodycount	0x7100f23a30
7100f27d20	g2s_trace_opcodes	0x7100f27d20
7100f27d20	g2s_trace_bodycount	0x7100f27d20
7100f28170	g2s_trace_opcodes	0x7100f28170
7100f28170	g2s_trace_bodycount	0x7100f28170
7100f288f0	g2s_trace_opcodes	0x7100f288f0
7100f288f0	g2s_trace_bodycount	0x7100f288f0
7100f28a00	g2s_trace_opmap	0x7100f28a00
7100f2c4a0	g2s_trace_opcodes	0x7100f2c4a0
7100f36d80	g2s_trace_opcodes	0x7100f36d80
7100f37000	g2s_trace_opcodes	0x7100f37000
7100f371a0	g2s_trace_opcodes	0x7100f371a0
7100f37330	g2s_trace_opcodes	0x7100f37330
7100f3b030	g2s_dump_names	0x7100f3b030
7100f3f910	g2s_dump_builtin_kinds	0x7100f3f910
7100f3ff20	g2s_trace_opcodes	0x7100f3ff20
7100f401a0	g2s_trace_opcodes	0x7100f401a0
7100f40db0	g2s_trace_opcodes	0x7100f40db0
7100f43470	g2s_trace_opcodes	0x7100f43470
